coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
eth,689,-23,11,9,12,4,8,13.2,-9.5,"""[5.25, 26.16, 12.15, 9.35]""","""[-17.3, -15.95, -6.7, -12.09, -9.38, -1.81, -8.98, -4.13]""",-1.0
eth,689,-25,11,10,10,4,6,9.0,-10.2,"""[0.36, 20.31, 11.13, 4.01]""","""[-26.26, -6.7, -9.38, -2.37, -11.39, -5.25]""",-1.1
eth,689,-8,11,11,9,3,6,12.6,-7.7,"""[16.96, 16.82, 4.01]""","""[-2.59, -12.02, -9.7, -4.07, -11.39, -6.23]""",-0.4
eth,689,-13,11,12,8,3,5,8.8,-8.0,"""[11.14, 12.72, 2.48]""","""[-3.91, -12.02, -4.57, -11.39, -8.06]""",-0.6
eth,689,-16,11,13,7,2,5,9.2,-6.9,"""[7.13, 11.34]""","""[-7.03, -12.02, -1.53, -5.46, -8.67]""",-0.7
eth,689,-30,11,14,7,2,5,7.4,-9.0,"""[4.41, 10.46]""","""[-12.56, -12.02, -4.12, -6.9, -9.27]""",-1.3
eth,689,-24,11,15,5,1,4,7.7,-8.0,"""[7.68]""","""[-2.85, -12.02, -7.53, -9.42]""",-1.1
eth,689,-36,11,16,5,1,4,5.6,-10.6,"""[5.6]""","""[-5.99, -12.82, -13.77, -9.78]""",-1.6
eth,689,-15,11,17,4,1,3,25.9,-13.6,"""[25.89]""","""[-9.14, -21.47, -10.31]""",-0.7
eth,689,-19,11,18,4,1,3,25.1,-14.9,"""[25.11]""","""[-12.38, -21.47, -10.84]""",-0.9
eth,689,-25,11,19,4,1,3,23.5,-16.4,"""[23.5]""","""[-15.01, -22.63, -11.65]""",-1.1
eth,689,-33,11,20,4,1,3,23.5,-18.9,"""[23.5]""","""[-21.31, -22.63, -12.88]""",-1.5
eth,689,-15,11,21,3,1,2,23.5,-19.4,"""[23.5]""","""[-25.83, -12.88]""",-0.7
eth,689,-17,11,22,3,1,2,23.2,-20.1,"""[23.15]""","""[-26.85, -13.31]""",-0.7
eth,689,49,12,7,15,7,8,16.5,-8.2,"""[1.06, 39.84, 3.75, 20.86, 16.11, 0.72, 32.87]""","""[-9.19, -12.53, -9.48, -7.49, -9.31, -4.73, -8.98, -3.87]""",2.2
eth,689,3,12,8,13,4,9,19.3,-8.2,"""[7.78, 35.99, 18.7, 14.62]""","""[-13.12, -13.98, -6.7, -11.99, -8.61, -5.45, -0.72, -8.98, -3.87]""",0.2
eth,689,-13,12,9,11,4,7,13.2,-9.5,"""[3.58, 26.96, 12.33, 9.74]""","""[-16.15, -15.95, -6.7, -9.38, -2.37, -11.39, -4.43]""",-0.6
eth,689,-31,12,10,10,4,6,8.9,-11.2,"""[0.13, 20.31, 11.13, 4.01]""","""[-24.67, -12.02, -9.38, -4.07, -11.39, -5.56]""",-1.4
eth,689,-41,12,11,10,3,7,11.0,-10.6,"""[16.96, 12.83, 3.3]""","""[-26.26, -2.59, -12.02, -9.7, -4.57, -11.39, -7.77]""",-1.8
eth,689,-6,12,12,7,3,4,8.6,-8.1,"""[11.14, 12.72, 2.03]""","""[-6.6, -12.02, -5.13, -8.67]""",-0.3
eth,689,-16,12,13,7,2,5,9.9,-7.4,"""[10.51, 9.37]""","""[-7.03, -12.02, -1.55, -6.9, -9.27]""",-0.7
eth,689,-28,12,14,6,2,4,5.8,-10.0,"""[4.41, 7.25]""","""[-12.56, -12.02, -5.85, -9.42]""",-1.2
eth,689,7,12,15,4,1,3,32.0,-8.1,"""[32.04]""","""[-2.85, -12.02, -9.42]""",0.3
eth,689,-11,12,16,4,1,3,25.9,-12.5,"""[25.89]""","""[-5.99, -21.47, -10.14]""",-0.5
eth,689,-15,12,17,4,1,3,25.9,-13.8,"""[25.89]""","""[-9.14, -21.47, -10.84]""",-0.7
eth,689,-23,12,18,4,1,3,25.7,-16.4,"""[25.74]""","""[-15.01, -22.63, -11.65]""",-1.0
eth,689,-25,12,19,4,1,3,25.1,-16.8,"""[25.11]""","""[-15.01, -22.63, -12.88]""",-1.1
