coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
sol,682,-60,10,12,7,2,5,30.1,-24.2,"""[46.5, 13.67]""","""[-30.45, -23.73, -28.97, -17.9, -19.96]""",-2.7
sol,682,-46,10,13,6,2,4,29.4,-26.2,"""[46.5, 12.25]""","""[-30.45, -23.73, -30.25, -20.51]""",-2.0
sol,682,-78,10,14,6,2,4,26.3,-32.8,"""[43.43, 9.19]""","""[-32.8, -27.25, -44.51, -26.69]""",-3.5
sol,682,-67,10,15,5,2,3,22.9,-37.8,"""[37.56, 8.33]""","""[-40.5, -45.36, -27.64]""",-3.0
sol,682,-76,10,16,5,2,3,17.1,-37.1,"""[29.91, 4.32]""","""[-27.89, -54.73, -28.57]""",-3.4
sol,682,-65,10,17,4,2,2,14.1,-47.1,"""[25.18, 3.09]""","""[-64.71, -29.5]""",-2.9
sol,682,-76,10,18,4,2,2,13.1,-51.4,"""[25.18, 1.06]""","""[-68.55, -34.23]""",-3.4
sol,682,-89,10,19,4,1,3,19.8,-36.3,"""[19.83]""","""[-72.87, -35.15, -0.9]""",-3.9
sol,682,-110,10,20,4,1,3,5.7,-38.8,"""[5.69]""","""[-73.17, -35.81, -7.37]""",-4.9
sol,682,-114,10,21,4,1,3,4.0,-39.6,"""[4.01]""","""[-73.81, -36.98, -7.94]""",-5.0
sol,682,-10,10,22,2,1,1,1.4,-11.5,"""[1.4]""","""[-11.48]""",-0.4
sol,682,-10,10,23,2,1,1,1.4,-11.5,"""[1.4]""","""[-11.48]""",-0.4
sol,682,-24,10,24,2,0,2,,-12.0,"""[]""","""[-10.26, -13.76]""",-1.1
sol,682,17,11,6,13,4,9,32.4,-12.5,"""[4.88, 82.33, 5.11, 37.14]""","""[-21.45, -1.89, -10.58, -15.97, -16.25, -12.67, -4.29, -14.08, -15.06]""",0.8
